,Price,Address,Prop_type,Size,Bath,Bed
45, 1 700 €  /  Monthly  ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Duplex,  124 m2 ,  3 ,  2 
46, 2 350 €  /  Monthly  ," Lisboa -   Lisboa, Arroios  ",Condo/Apartment,  112 m2 ,  2 ,  2 
47, 700 €  /  Monthly  ," Lisboa -   Lourinhã, Lourinhã e Atalaia  ",Condo/Apartment,  120 m2 ,  2 ,  3 
48, 1 500 €  /  Monthly  ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  65 m2 ,  1 ,  2 
49, 1 700 €  /  Monthly  ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  95 m2 ,  2 ,  2 
50, 1 600 €  /  Monthly  ," Lisboa -   Lisboa, Carnide  ",Condo/Apartment,  91 m2 ,  2 ,  2 
51, 900 €  /  Monthly  ," Lisboa -   Lisboa, Penha de França  ",Store,  50 m2 ,  1 ,  -- 
52, 900 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  73 m2 ,  1 ,  1 
53, 4 500 €  /  Monthly  ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  163 m2 ,  3 ,  2 
54, 980 €  /  Monthly  ," Lisboa -   Lisboa, Santo António  ",Condo/Apartment,  46 m2 ,  1 ,  1 
55, 1 500 €  /  Monthly  ," Lisboa -   Odivelas, Póvoa de Santo Adrião e Olival Basto  ",Store,  180 m2 ,  0 ,  -- 
56, 2 850 €  /  Monthly  ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",Condo/Apartment,  190 m2 ,  3 ,  4 
57, 900 €  /  Monthly  ," Lisboa -   Amadora, Venteira  ",Others - Commercial,  30 m2 ,  2 ,  -- 
58, 900 €  /  Monthly  ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Others - Commercial,  30 m2 ,  2 ,  -- 
59, 2 500 €  /  Monthly  ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  151 m2 ,  2 ,  3 
60, 5 500 €  /  Monthly  ," Lisboa -   Lisboa, Campo de Ourique  ",Store,  110 m2 ,  0 ,  -- 
61, 1 200 €  /  Monthly  ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  78 m2 ,  1 ,  2 
62, 1 200 €  /  Monthly  ," Lisboa -   Odivelas, Odivelas  ",Store,  150 m2 ,  0 ,  -- 
63, 1 500 €  /  Monthly  ," Lisboa -   Oeiras, Carnaxide e Queijas  ",Business Office,  153 m2 ,  2 ,  -- 
64, 1 200 €  /  Monthly  ," Lisboa -   Lisboa, Beato  ",Condo/Apartment,  81 m2 ,  2 ,  2 
65, 1 750 €  /  Monthly  ," Lisboa -   Mafra, Ericeira  ",Store,  100 m2 ,  1 ,  0 
66, 6 000 €  /  Monthly  ," Lisboa -   Lisboa, Santo António  ",Condo/Apartment,  257 m2 ,  5 ,  6 
67, 650 €  /  Monthly  ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  65 m2 ,  0 ,  2 
68, 1 200 €  /  Monthly  ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Condo/Apartment,  82 m2 ,  2 ,  2 
69, 100 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Garage,  138 m2 ,  0 ,  -- 
70, 100 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Garage,  11 m2 ,  0 ,  -- 
71, 850 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  ",Others - Commercial,  61 m2 ,  0 ,  -- 
72, 1 700 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  97 m2 ,  2 ,  3 
73, 925 €  /  Monthly  ," Lisboa -   Loures, Moscavide e Portela  ",Store,  51 m2 ,  4 ,  -- 
74, 2 500 €  /  Monthly  ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",Condo/Apartment,  108 m2 ,  2 ,  3 
75, 1 200 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  75 m2 ,  1 ,  2 
76, 750 €  /  Monthly  ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  73 m2 ,  1 ,  2 
77, 1 500 €  /  Monthly  ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  102 m2 ,  2 ,  2 
78, 250 €  /  Monthly  ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Garage,  71 m2 ,  1 ,  0 
79, 120 €  /  Monthly  ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Garage,  21 m2 ,  0 ,  -- 
80, 1 100 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",Condo/Apartment,  81 m2 ,  1 ,  2 
81, 1 400 €  /  Monthly  ," Lisboa -   Lisboa, Penha de França  ",Condo/Apartment,  80 m2 ,  1 ,  2 
82, 1 600 €  /  Monthly  ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  200 m2 ,  2 ,  4 
83, 1 450 €  /  Monthly  ," Lisboa -   Lisboa, Marvila  ",Condo/Apartment,  97 m2 ,  2 ,  2 
84, 1 200 €  /  Monthly  ," Lisboa -   Lisboa, Carnide  ",Condo/Apartment,  57 m2 ,  1 ,  1 
85, 1 400 €  /  Monthly  ," Lisboa -   Lisboa, Avenidas Novas  ",Condo/Apartment,  54 m2 ,  1 ,  1 
86, 1 300 €  /  Monthly  ," Lisboa -   Lisboa, Belém  ",Condo/Apartment,  98 m2 ,  2 ,  3 
87, 700 €  /  Monthly  ," Lisboa -   Lisboa, Alvalade  ",Store,  68 m2 ,  1 ,  -- 
88, 350 €  /  Monthly  ," Lisboa -   Loures, Santa Iria de Azoia, São João da Talha e Bobadela  ",Others - Habitacional,  86 m2 ,  1 ,  1 
89, 350 €  /  Monthly  ," Lisboa -   Loures, Santa Iria de Azoia, São João da Talha e Bobadela  ",Others - Habitacional,  86 m2 ,  1 ,  1 
90, 500 €  /  Monthly  ," Lisboa -   Loures, Loures  ",Store,  19 m2 ,  1 ,  -- 
91, 1 700 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",Condo/Apartment,  137 m2 ,  3 ,  3 
92, 20 000 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",House,  513 m2 ,  7 ,  5 
93, 1 400 €  /  Monthly  ," Lisboa -   Loures, Sacavém e Prior Velho  ",Condo/Apartment,  127 m2 ,  2 ,  3 
94, 2 000 €  /  Monthly  ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  110 m2 ,  1 ,  3 
95, 500 €  /  Monthly  ," Lisboa -   Mafra, Venda do Pinheiro e Santo Estêvão das Galés  ",Store,  39 m2 ,  0 ,  -- 
96, 150 €  /  Monthly  ," Lisboa -   Sintra, Rio de Mouro  ",Garage,  15 m2 ,  0 ,  -- 
97, 950 €  /  Monthly  ," Lisboa -   Lisboa, Benfica  ",Condo/Apartment,  55 m2 ,  1 ,  1 
98, 2 950 €  /  Monthly  ," Lisboa -   Lisboa, Arroios  ",Others - Commercial,  258 m2 ,  -- ,  -- 
99, 200 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz  ",Garage,  36 m2 ,  0 ,  -- 
100, 1 900 €  /  Monthly  ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",Condo/Apartment,  114 m2 ,  3 ,  2 
101, 1 950 €  /  Monthly  ," Lisboa -   Lisboa, Penha de França  ",Condo/Apartment,  131 m2 ,  2 ,  3 
102, 1 500 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  ",Condo/Apartment,  115 m2 ,  2 ,  3 
103, 7 000 €  /  Monthly  ," Lisboa -   Lisboa, Santa Maria Maior  ",Business Office,  142 m2 ,  1 ,  -- 
104, 900 €  /  Monthly  ," Lisboa -   Lisboa, Santa Maria Maior  ",Condo/Apartment,  61 m2 ,  1 ,  1 
105, 6 500 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",House,  393 m2 ,  4 ,  4 
106, 1 000 €  /  Monthly  ," Lisboa -   Odivelas, Pontinha e Famões  ",Condo/Apartment,  70 m2 ,  1 ,  2 
107, 2 500 €  /  Monthly  ," Lisboa -   Loures, Moscavide e Portela  ",Condo/Apartment,  135 m2 ,  2 ,  3 
108, 6 000 €  /  Monthly  ," Lisboa -   Lisboa, Alcântara  ",Condo/Apartment,  165 m2 ,  3 ,  4 
109, 1 300 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  58 m2 ,  1 ,  1 
110, 3 150 €  /  Monthly  ," Lisboa -   Lisboa, Santa Maria Maior  ",Condo/Apartment,  140 m2 ,  2 ,  4 
111, 2 000 €  /  Monthly  ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  127 m2 ,  2 ,  3 
112, 1 350 €  /  Monthly  ," Lisboa -   Lisboa, Estrela  ",Store,  132 m2 ,  1 ,  -- 
113, 700 €  /  Monthly  ," Lisboa -   Lisboa, São Domingos de Benfica  ",Store,  45 m2 ,  0 ,  -- 
114, 2 900 €  /  Monthly  ," Lisboa -   Lisboa, Marvila  ",Condo/Apartment,  110 m2 ,  2 ,  2 
115, 550 €  /  Monthly  ," Lisboa -   Loures, Loures  ",Store,  16 m2 ,  0 ,  -- 
