Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
435000,384,3,5,0,0,1,0,0,3829.39228807994
160000,200,1,4,0,0,1,0,0,1951.3669698066215
125000,99,1,2,0,0,1,0,0,965.7772991941571
195000,196,1,2,0,0,1,0,0,1770.0507730547986
300000,144,2,5,0,0,0,1,0,1943.308225791284
199000,74,2,3,0,0,1,0,0,971.7244723068577
189000,52,1,2,0,0,1,0,0,576.0777809317844
430000,168,3,4,0,0,1,0,0,1964.357659743438
1300000,450,0,6,0,0,1,0,0,4033.228017342073
98000,110,1,2,0,0,1,0,0,1056.9835694257763
175000,74,2,2,0,0,1,0,0,897.649332154877
780000,251,4,4,0,0,1,0,0,2791.7094367964182
990000,254,3,4,0,0,0,1,0,2920.454798715349
350000,130,0,3,0,0,1,0,0,1157.7292810572103
729750,188,4,3,0,0,1,0,0,2195.271112590619
330000,152,3,5,0,0,1,0,0,1905.7691341039724
274900,219,3,3,0,0,1,0,0,2313.1479543016912
245000,280,2,5,0,0,1,0,0,2827.9194496756863
430000,277,3,4,0,0,1,0,0,2868.1288829476644
228000,134,0,3,0,0,1,0,0,1190.8951975050718
45000,132,1,2,0,0,1,0,0,1239.3961098890145
245000,104,1,3,0,0,1,0,0,1081.3098349059646
250000,199,3,2,0,0,1,0,0,2073.2432319104037
380000,172,3,3,0,0,1,0,0,1923.448436039319
265000,214,3,3,0,0,1,0,0,2271.6905587418646
345500,158,3,3,0,0,1,0,0,1807.3677284718035
1800000,580,4,8,0,0,0,1,0,6058.936560583838
360000,103,0,2,0,0,1,0,0,859.7842048821643
265000,80,2,4,0,0,0,1,0,1338.5784224735194
120000,30,1,1,0,0,1,0,0,319.5901003165655
126500,263,1,2,0,0,1,0,0,2325.579873556479
125000,60,2,2,0,0,1,0,0,781.5686245873618
348500,132,2,3,0,0,1,0,0,1452.6302608008496
474500,141,4,3,0,0,1,0,0,1805.5715943282464
320000,255,4,4,0,0,1,0,0,2824.8753532442797
113000,126,1,2,0,0,1,0,0,1189.6472352172223
85000,170,2,2,0,0,1,0,0,1693.6313269035534
69000,56,1,2,0,0,1,0,0,609.2436973796459
419000,448,5,4,0,0,1,0,0,4564.289832613453
235000,393,2,3,0,0,1,0,0,3616.7063090238134
295000,154,3,3,0,0,1,0,0,1774.201812023942
180000,120,0,4,0,0,1,0,0,1148.8896300895371
215000,190,0,2,0,0,1,0,0,1581.142887623152
300000,132,4,3,0,0,1,0,0,1730.948282320558
198000,147,4,3,0,0,1,0,0,1855.3204690000387
300000,282,4,8,0,0,1,0,0,3345.045849875268
370000,238,3,3,0,0,1,0,0,2470.686057429034
110000,74,1,2,0,0,1,0,0,758.4903213950226
119000,235,4,6,0,0,1,0,0,2807.1960513089343
298000,135,3,4,0,0,1,0,0,1690.7388490485805
529900,246,4,4,0,0,1,0,0,2750.252041236592
340000,248,4,3,0,0,1,0,0,2692.7598593085418
69000,65,1,2,0,0,1,0,0,683.8670093873343
300000,140,2,3,0,0,1,0,0,1518.9620936965725
314900,151,3,3,0,0,1,0,0,1749.327374688046
240000,140,3,3,0,0,1,0,0,1658.1211044564268
170000,132,3,3,0,0,1,0,0,1591.7892715607038
374000,73,2,2,0,0,0,1,0,1132.3877883858004
180000,90,2,3,0,0,1,0,0,1104.388138098304
285000,230,4,3,0,0,1,0,0,2543.513235293165
265000,392,0,3,0,0,1,0,0,3330.096808392139
185000,55,1,2,0,0,0,1,0,843.9821536105695
147000,36,1,1,0,0,0,1,0,612.3689103312468
150000,35,1,1,0,0,0,1,0,604.0774312192814
157000,36,1,1,0,0,0,1,0,612.3689103312468
