,Price,Address,Prop_type,Size,Bath,Bed
50, 179 000 € ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  59 m2 ,  1 ,  2 
51, 215 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  39 m2 ,  1 ,  2 
52, 60 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  49 m2 ,  1 ,  1 
53, 180 000 € ," Lisboa -   Vila Franca de Xira, Castanheira do Ribatejo e Cachoeiras  ",Condo/Apartment,  96 m2 ,  1 ,  2 
54, 149 990 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  65 m2 ,  1 ,  2 
55, 170 000 € ," Lisboa -   Lisboa, Alcântara  ",Condo/Apartment,  37 m2 ,  1 ,  1 
56, 197 500 € ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  102 m2 ,  2 ,  3 
57, 145 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  75 m2 ,  1 ,  2 
58, 205 000 € ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Condo/Apartment,  100 m2 ,  2 ,  4 
59, 219 000 € ," Lisboa -   Lisboa, São Vicente  ",Condo/Apartment,  48 m2 ,  1 ,  1 
60, 160 000 € ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Condo/Apartment,  77 m2 ,  1 ,  2 
61, 105 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  40 m2 ,  1 ,  1 
62, 150 000 € ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Condo/Apartment,  71 m2 ,  1 ,  2 
63, 198 000 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  98 m2 ,  1 ,  2 
64, 239 000 € ," Lisboa -   Lisboa, Marvila  ",Condo/Apartment,  84 m2 ,  1 ,  2 
65, 185 000 € ," Lisboa -   Azambuja, Aveiras de Cima  ",Condo/Apartment,  114 m2 ,  2 ,  2 
66, 200 000 € ," Lisboa -   Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  ",Condo/Apartment,  126 m2 ,  2 ,  3 
67, 220 000 € ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Condo/Apartment,  91 m2 ,  2 ,  4 
68, 205 000 € ," Lisboa -   Odivelas, Pontinha e Famões  ",Condo/Apartment,  86 m2 ,  1 ,  2 
69, 169 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  65 m2 ,  1 ,  2 
70, 155 000 € ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  69 m2 ,  1 ,  1 
71, 160 000 € ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Condo/Apartment,  85 m2 ,  1 ,  2 
72, 239 900 € ," Lisboa -   Cascais, São Domingos de Rana  ",Condo/Apartment,  76 m2 ,  2 ,  2 
73, 220 000 € ," Lisboa -   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  ",Condo/Apartment,  112 m2 ,  2 ,  3 
74, 149 900 € ," Lisboa -   Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz  ",Condo/Apartment,  76 m2 ,  1 ,  3 
75, 175 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  68 m2 ,  1 ,  2 
76, 217 500 € ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Condo/Apartment,  93 m2 ,  1 ,  2 
77, 160 000 € ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  58 m2 ,  1 ,  2 
78, 229 000 € ," Lisboa -   Lisboa, Estrela  ",Condo/Apartment,  65 m2 ,  1 ,  1 
79, 215 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  77 m2 ,  1 ,  2 
80, 140 000 € ," Lisboa -   Lisboa, Santa Maria Maior  ",Condo/Apartment,  29 m2 ,  1 ,  1 
81, 150 000 € ," Lisboa -   Sintra, Cacém e São Marcos  ",Condo/Apartment,  78 m2 ,  1 ,  2 
82, 210 000 € ," Lisboa -   Lisboa, São Vicente  ",Condo/Apartment,  44 m2 ,  1 ,  1 
83, 167 000 € ," Lisboa -   Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães  ",Condo/Apartment,  81 m2 ,  1 ,  2 
84, 169 500 € ," Lisboa -   Vila Franca de Xira, Castanheira do Ribatejo e Cachoeiras  ",Condo/Apartment,  113 m2 ,  2 ,  3 
85, 210 000 € ," Lisboa -   Loures, Moscavide e Portela  ",Condo/Apartment,  47 m2 ,  1 ,  1 
86, 179 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  43 m2 ,  1 ,  1 
87, 159 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  59 m2 ,  1 ,  1 
88, 209 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  59 m2 ,  1 ,  1 
89, 75 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  45 m2 ,  1 ,  1 
90, 219 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  59 m2 ,  1 ,  1 
91, 150 000 € ," Lisboa -   Loures, Santo António dos Cavaleiros e Frielas  ",Condo/Apartment,  71 m2 ,  1 ,  2 
92, 157 000 € ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  70 m2 ,  1 ,  2 
93, 140 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  123 m2 ,  1 ,  2 
94, 129 900 € ," Lisboa -   Azambuja, Aveiras de Cima  ",Condo/Apartment,  68 m2 ,  1 ,  2 
95, 185 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  94 m2 ,  1 ,  2 
96, 187 500 € ," Lisboa -   Amadora, Venteira  ",Condo/Apartment,  64 m2 ,  1 ,  2 
97, 125 000 € ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  48 m2 ,  1 ,  1 
98, 185 000 € ," Lisboa -   Sintra, Cacém e São Marcos  ",Condo/Apartment,  70 m2 ,  1 ,  2 
99, 145 000 € ," Lisboa -   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  ",Condo/Apartment,  49 m2 ,  -- ,  1 
100, 198 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  95 m2 ,  2 ,  3 
