Price,Address,Prop_type,Size,Bath,Bed
 1 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  200 m2 ,  2 ,  -- 
 355 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  27 m2 ,  1 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  105 m2 ,  2 ,  3 
 1 100 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  104 m2 ,  2 ,  2 
 950 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  120 m2 ,  2 ,  3 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  92 m2 ,  1 ,  2 
 400 €  /  Monthly  ," Porto -   Felgueiras, Refontoura  ",House,  80 m2 ,  1 ,  1 
 750 €  /  Monthly  ," Porto -   Maia, Castêlo da Maia  ",Condo/Apartment,  79 m2 ,  1 ,  1 
 1 300 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Store,  294 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  109 m2 ,  2 ,  -- 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Warehouse,  180 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  85 m2 ,  1 ,  2 
 300 €  /  Monthly  ," Porto -   Felgueiras, Pedreira, Rande e Sernande  ",Store,  81 m2 ,  0 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  101 m2 ,  2 ,  2 
 4 000 €  /  Monthly  ," Porto -   Maia, Moreira  ",Warehouse,  1020 m2 ,  2 ,  -- 
 320 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",Store,  43 m2 ,  1 ,  -- 
 200 €  /  Monthly  ," Porto -   Santo Tirso, Vilarinho  ",Warehouse,  78 m2 ,  0 ,  -- 
 400 €  /  Monthly  ," Porto -   Felgueiras, Vila Cova da Lixa e Borba de Godim  ",Store,  99 m2 ,  1 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  120 m2 ,  0 ,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  87 m2 ,  1 ,  1 
 1 200 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  129 m2 ,  2 ,  -- 
 4 500 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  234 m2 ,  3 ,  4 
 350 €  /  Monthly  ," Porto -   Penafiel, Duas Igrejas  ",Warehouse,  144 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  87 m2 ,  2 ,  3 
 850 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  69 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  100 m2 ,  2 ,  2 
 720 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  85 m2 ,  1 ,  2 
 790 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  91 m2 ,  1 ,  2 
 920 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  118 m2 ,  2 ,  2 
 475 €  /  Monthly  ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Store,  25 m2 ,  1 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  83 m2 ,  1 ,  -- 
 2 500 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  197 m2 ,  1 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  65 m2 ,  1 ,  2 
 400 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  118 m2 ,  1 ,  -- 
 400 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  118 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  237 m2 ,  2 ,  -- 
 350 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  42 m2 ,  0 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Maia, Pedrouços  ",Condo/Apartment,  117 m2 ,  2 ,  3 
 1 750 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  155 m2 ,  3 ,  3 
 1 300 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",House,  250 m2 ,  2 ,  3 
 1 850 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  35 m2 ,  1 ,  -- 
 400 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  98 m2 ,  2 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  169 m2 ,  2 ,  3 
 350 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  139 m2 ,  1 ,  -- 
 1 100 €  /  Monthly  ," Porto -   Maia, Pedrouços  ",Store,  125 m2 ,  0 ,  -- 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  168 m2 ,  1 ,  4 
 690 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  69 m2 ,  1 ,  2 
 1 700 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Store,  81 m2 ,  1 ,  0 
 750 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  58 m2 ,  1 ,  0 
 575 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Business Office,  55 m2 ,  1 ,  -- 
 600 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  139 m2 ,  1 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  138 m2 ,  2 ,  -- 
 425 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Store,  67 m2 ,  2 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  62 m2 ,  1 ,  1 
 400 €  /  Monthly  ," Porto -   Felgueiras, Friande  ",Warehouse,  114 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Condo/Apartment,  94 m2 ,  2 ,  2 
 1 650 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  66 m2 ,  1 ,  1 
 850 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",Condo/Apartment,  75 m2 ,  0 ,  2 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 900 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 21 000 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  1220 m2 ,  0 ,  -- 
 790 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Condo/Apartment,  64 m2 ,  1 ,  2 
 240 €  /  Monthly  ," Porto -   Maia, Moreira  ",Business Office,  22 m2 ,  0 ,  0 
 1 250 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  102 m2 ,  2 ,  2 
 2 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  148 m2 ,  3 ,  3 
 450 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  46 m2 ,  1 ,  1 
 250 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  22 m2 ,  0 ,  -- 
 800 €  /  Monthly  ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Condo/Apartment,  56 m2 ,  1 ,  1 
 575 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  42 m2 ,  1 ,  0 
 250 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  17 m2 ,  0 ,  -- 
 2 300 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Madalena  ",Condo/Apartment,  141 m2 ,  3 ,  3 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  73 m2 ,  2 ,  1 
 950 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  322 m2 ,  1 ,  -- 
 700 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  214 m2 ,  0 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  536 m2 ,  1 ,  -- 
 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  85 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  75 m2 ,  1 ,  1 
 900 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Warehouse,  416 m2 ,  4 ,  -- 
 1 800 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  135 m2 ,  2 ,  3 
 3 500 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  90 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Store,  120 m2 ,  1 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Paços de Ferreira, Freamunde  ",Land,  -- m2 ,  0 ,  -- 
 150 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Business Office,  22 m2 ,  0 ,  0 
 650 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  112 m2 ,  0 ,  -- 
 900 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  70 m2 ,  2 ,  2 
 550 €  /  Monthly  ," Porto -   Felgueiras, Idães  ",Warehouse,  212 m2 ,  1 ,  -- 
 450 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  130 m2 ,  2 ,  3 
