,Price,Address,Prop_type,Size,Bath,Bed
102, 1 500 €  /  Monthly  ," Braga -   Amares, Amares e Figueiredo  ",Others - Commercial,  327 m2 ,  2 ,  -- 
103, 550 €  /  Monthly  ," Braga -   Vieira do Minho, Vieira do Minho  ",Store,  85 m2 ,  1 ,  -- 
104, 450 €  /  Monthly  ," Braga -   Guimarães, São Torcato  ",Store,  77 m2 ,  1 ,  -- 
105, 500 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Ribeirão  ",Garage,  138 m2 ,  0 ,  -- 
106, 1 100 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Others - Commercial,  275 m2 ,  3 ,  -- 
107, 2 000 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Others - Commercial,  390 m2 ,  0 ,  -- 
108, 221 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  23 m2 ,  0 ,  -- 
109, 400 €  /  Monthly  ," Braga -   Vila Verde, Vade  ",Others - Commercial,  190 m2 ,  0 ,  -- 
110, 413 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  56 m2 ,  0 ,  -- 
111, 708 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  96 m2 ,  0 ,  -- 
112, 310 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  42 m2 ,  0 ,  -- 
113, 177 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  19 m2 ,  0 ,  -- 
114, 646 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  75 m2 ,  0 ,  -- 
115, 649 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  75 m2 ,  0 ,  -- 
116, 810 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  94 m2 ,  0 ,  -- 
117, 391 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  53 m2 ,  0 ,  -- 
118, 551 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  74 m2 ,  0 ,  -- 
119, 416 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  56 m2 ,  0 ,  -- 
120, 418 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  56 m2 ,  0 ,  -- 
121, 480 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  65 m2 ,  0 ,  -- 
122, 231 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  24 m2 ,  0 ,  -- 
123, 292 €  /  Monthly  ," Braga -   Guimarães, Polvoreira  ",Store,  34 m2 ,  0 ,  -- 
124, 1 000 €  /  Monthly  ," Braga -   Barcelos, Chorente, Góios, Courel, Pedra Furada e Gueral  ",Others - Commercial,  645 m2 ,  5 ,  -- 
125, 250 €  /  Monthly  ," Braga -   Celorico de Basto, Basto (São Clemente)  ",Store,  49 m2 ,  0 ,  -- 
126, 2 000 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Store,  170 m2 ,  1 ,  -- 
127, 1 000 €  /  Monthly  ," Braga -   Braga, São Victor  ",Building,  70 m2 ,  0 ,  -- 
128, 300 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Business Office,  22 m2 ,  1 ,  -- 
129, 130 €  /  Monthly  ," Braga -   Celorico de Basto, Vale de Bouro  ",Land,  1077 m2 ,  0 ,  -- 
130, 100 €  /  Monthly  ," Braga -   Guimarães, Costa  ",Garage,  26 m2 ,  0 ,  -- 
131, 300 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Studio,  35 m2 ,  1 ,  0 
132, 200 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Store,  49 m2 ,  0 ,  -- 
133, 3 000 €  /  Monthly  ," Braga -   Barcelos, Aborim  ",Warehouse,  1830 m2 ,  0 ,  -- 
134, 600 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Store,  81 m2 ,  0 ,  -- 
135, 350 €  /  Monthly  ," Braga -   Barcelos, Areias  ",Store,  55 m2 ,  0 ,  -- 
136, 700 €  /  Monthly  ," Braga -   Barcelos, Barcelinhos  ",Others - Habitacional,  240 m2 ,  0 ,  0 
137, 300 €  /  Monthly  ," Braga -   Braga, São Victor  ",Business Office,  53 m2 ,  0 ,  0 
138, 1 200 €  /  Monthly  ," Braga -   Braga, Sequeira  ",Business Office,  200 m2 ,  0 ,  -- 
139, 300 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Store,  60 m2 ,  0 ,  0 
140, 300 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Store,  71 m2 ,  0 ,  0 
141, 300 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Store,  62 m2 ,  0 ,  0 
142, 350 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Store,  90 m2 ,  0 ,  0 
143, 3 500 €  /  Monthly  ," Braga -   Guimarães, Airão Santa Maria, Airão São João e Vermil  ",House,  325 m2 ,  4 ,  4 
144, 1 250 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Store,  97 m2 ,  0 ,  0 
145, 150 €  /  Monthly  ," Braga -   Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  ",Land,  5500 m2 ,  0 ,  0 
146, 450 €  /  Monthly  ," Braga -   Braga, Gualtar  ",Store,  72 m2 ,  0 ,  0 
147, 400 €  /  Monthly  ," Braga -   Braga, Tadim  ",Store,  215 m2 ,  0 ,  0 
148, 2 400 €  /  Monthly  ," Braga -   Guimarães, Ponte  ",Industrial,  800 m2 ,  0 ,  -- 
149, 4 500 €  /  Monthly  ," Braga -   Guimarães, Ponte  ",Industrial,  1500 m2 ,  0 ,  -- 
150, 250 €  /  Monthly  ," Braga -   Terras de Bouro, Moimenta (Santo André)  ",Store,  125 m2 ,  -- ,  0 
151, 350 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Store,  124 m2 ,  0 ,  0 
152, 450 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Business Office,  20 m2 ,  0 ,  0 
153, 250 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Business Office,  51 m2 ,  0 ,  0 
154, 1 100 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Arnoso (Santa Maria e Santa Eulália) e Sezures  ",Store,  600 m2 ,  0 ,  0 
155, 1 200 €  /  Monthly  ," Braga -   Braga, Nogueiró e Tenões  ",Industrial,  120 m2 ,  -- ,  0 
156, 650 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Store,  175 m2 ,  -- ,  0 
157, 1 000 €  /  Monthly  ," Braga -   Vila Verde, Geme  ",Land,  3000 m2 ,  0 ,  0 
