Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,good_prop
114,3,4,0,0,0,1,0,0
129,1,3,0,0,1,0,0,1
182,2,3,0,0,1,0,0,1
106,3,2,0,0,1,0,0,1
146,3,3,0,0,1,0,0,1
200,3,4,0,0,1,0,0,1
177,4,3,0,0,1,0,0,0
148,3,3,0,0,1,0,0,1
135,1,2,0,0,1,0,0,1
170,2,3,0,0,1,0,0,1
50,1,2,0,0,1,0,0,1
50,2,3,0,0,1,0,0,1
200,5,4,0,0,1,0,0,0
210,4,3,0,0,0,1,0,1
157,1,5,0,0,1,0,0,1
155,3,3,0,0,1,0,0,0
99,2,2,0,0,1,0,0,1
182,5,3,0,0,1,0,0,1
184,3,3,0,0,1,0,0,1
280,5,5,0,0,1,0,0,1
150,3,3,0,0,1,0,0,1
214,4,4,0,0,1,0,0,0
110,2,2,0,0,1,0,0,1
125,2,2,0,0,1,0,0,1
167,3,3,0,0,1,0,0,1
202,3,3,0,0,1,0,0,1
184,3,3,0,0,1,0,0,1
247,5,3,0,0,1,0,0,0
156,1,1,0,0,1,0,0,1
190,3,3,0,0,1,0,0,1
140,2,3,0,0,1,0,0,0
68,1,2,0,0,1,0,0,1
206,2,4,0,0,1,0,0,1
167,2,5,0,0,1,0,0,1
240,2,4,0,0,1,0,0,1
257,3,3,0,0,1,0,0,1
165,2,4,0,0,1,0,0,1
208,2,2,0,0,0,1,0,1
53,1,3,0,0,1,0,0,1
196,3,3,0,0,1,0,0,1
154,3,3,0,0,1,0,0,0
132,2,3,0,0,0,1,0,1
237,2,3,0,0,1,0,0,1
180,3,3,0,0,1,0,0,0
209,5,5,0,0,1,0,0,1
177,1,3,0,0,1,0,0,1
90,1,4,0,0,1,0,0,1
90,1,4,0,0,1,0,0,1
90,1,2,0,0,1,0,0,1
80,1,1,0,0,1,0,0,1
72,1,2,0,0,1,0,0,1
97,1,2,0,0,1,0,0,1
212,3,5,0,0,1,0,0,0
157,3,3,0,0,1,0,0,0
180,2,4,0,0,1,0,0,0
160,1,3,0,0,1,0,0,1
180,3,3,0,0,1,0,0,1
273,3,3,0,0,1,0,0,1
200,3,3,0,0,1,0,0,1
161,3,4,0,0,1,0,0,0
95,1,2,0,0,1,0,0,1
269,1,2,0,0,1,0,0,1
220,2,4,0,0,1,0,0,0
180,4,4,0,0,1,0,0,1
225,3,3,0,0,1,0,0,0
160,4,3,0,0,1,0,0,1
258,1,2,0,0,1,0,0,1
170,3,3,0,0,1,0,0,0
204,2,3,0,0,1,0,0,1
168,3,3,0,0,1,0,0,1
199,5,4,0,0,1,0,0,0
283,4,3,0,0,1,0,0,0
120,2,3,0,0,1,0,0,1
155,3,4,0,0,1,0,0,1
107,1,3,0,0,1,0,0,1
84,1,2,0,0,1,0,0,1
192,3,3,0,0,1,0,0,1
38,1,1,0,0,1,0,0,1
200,6,4,0,0,1,0,0,1
139,3,3,0,0,1,0,0,0
180,4,5,0,0,1,0,0,1
197,3,3,0,0,1,0,0,1
72,1,3,0,0,1,0,0,1
106,1,1,0,0,1,0,0,1
96,2,3,0,0,1,0,0,0
208,2,4,0,0,0,1,0,1
176,2,3,0,0,1,0,0,0
210,2,4,0,0,1,0,0,1
174,1,4,0,0,1,0,0,1
230,2,4,0,0,1,0,0,1
251,3,5,0,0,1,0,0,1
68,2,2,0,0,1,0,0,1
144,1,2,0,0,1,0,0,1
33,1,1,0,0,0,1,0,1
168,4,3,0,0,1,0,0,0
192,3,4,0,0,1,0,0,1
201,2,3,0,0,1,0,0,1
110,2,3,0,0,1,0,0,1
200,4,5,0,0,1,0,0,1
239,5,4,0,0,1,0,0,0
144,2,3,0,0,1,0,0,1
201,2,3,0,0,1,0,0,0
252,5,4,0,0,1,0,0,0
125,2,3,0,0,1,0,0,1
208,4,3,0,0,1,0,0,1
150,3,3,0,0,0,1,0,0
192,1,3,0,0,1,0,0,1
70,1,2,0,0,1,0,0,0
180,4,3,0,0,1,0,0,1
174,2,3,0,0,1,0,0,1
182,2,3,0,0,1,0,0,1
198,3,3,0,0,1,0,0,0
110,3,3,0,0,0,1,0,0
90,2,2,0,0,1,0,0,0
103,2,3,0,0,1,0,0,0
129,2,3,0,0,1,0,0,0
275,2,6,0,0,1,0,0,1
110,2,3,0,0,1,0,0,0
45,1,2,0,0,1,0,0,0
50,1,1,0,0,0,1,0,0
80,1,2,0,0,1,0,0,0
212,4,4,0,0,1,0,0,0
136,2,4,0,0,0,1,0,0
146,3,4,0,0,1,0,0,1
56,2,2,0,0,1,0,0,1
258,3,11,0,0,0,1,0,0
140,3,5,0,0,1,0,0,1
237,3,3,0,0,1,0,0,0
100,2,4,0,0,1,0,0,1
215,5,4,0,0,1,0,0,1
215,5,4,0,0,1,0,0,1
220,4,3,0,0,1,0,0,0
42,1,1,0,0,0,1,0,1
80,2,3,0,0,1,0,0,0
102,2,2,0,0,1,0,0,1
193,3,3,0,0,1,0,0,0
100,2,3,0,0,1,0,0,1
228,4,4,0,0,1,0,0,1
151,2,3,0,0,1,0,0,1
152,3,3,0,0,1,0,0,1
65,2,2,0,0,1,0,0,1
180,1,2,0,0,1,0,0,1
278,4,3,0,0,1,0,0,0
220,2,3,0,0,0,1,0,0
170,2,3,0,0,1,0,0,0
278,4,4,0,0,1,0,0,1
186,5,3,0,0,1,0,0,0
116,1,4,0,0,1,0,0,0
120,2,3,0,0,1,0,0,0
150,3,3,0,0,1,0,0,0
50,1,1,0,0,1,0,0,0
40,1,1,0,0,1,0,0,1
200,3,4,0,0,1,0,0,1
124,1,3,0,0,1,0,0,1
270,3,4,0,0,1,0,0,1
156,3,4,0,0,0,1,0,0
64,1,2,0,0,1,0,0,1
155,2,2,0,0,1,0,0,1
205,4,3,0,0,1,0,0,0
271,4,4,0,0,1,0,0,0
56,1,2,0,0,1,0,0,1
63,1,2,0,0,1,0,0,1
119,2,2,0,0,1,0,0,1
252,3,4,0,0,1,0,0,1
179,5,3,0,0,1,0,0,0
262,4,4,0,0,1,0,0,1
65,1,2,0,0,1,0,0,1
83,2,2,0,0,0,1,0,1
120,3,3,0,0,0,1,0,0
180,5,3,0,0,1,0,0,0
97,1,2,0,0,1,0,0,0
83,3,3,0,0,0,1,0,0
103,1,2,0,0,0,1,0,1
147,3,3,0,0,1,0,0,0
266,3,3,0,0,1,0,0,1
179,1,3,0,0,1,0,0,1
260,2,3,0,0,1,0,0,1
111,3,3,0,0,1,0,0,0
120,1,2,0,0,1,0,0,1
61,1,2,0,0,1,0,0,1
258,5,5,0,0,1,0,0,1
87,2,3,0,0,1,0,0,0
178,2,4,0,0,1,0,0,1
93,1,3,0,0,0,1,0,0
233,3,3,0,0,1,0,0,0
123,3,3,0,0,1,0,0,0
137,2,3,0,0,1,0,0,0
182,3,4,0,0,1,0,0,1
254,3,3,0,0,1,0,0,1
201,3,3,0,0,1,0,0,1
169,4,4,0,0,1,0,0,1
204,3,3,0,0,1,0,0,1
204,3,3,0,0,1,0,0,1
42,2,1,0,0,1,0,0,1
135,3,3,0,0,1,0,0,0
240,5,3,0,0,1,0,0,0
268,3,3,0,0,1,0,0,1
120,2,3,0,0,1,0,0,0
64,2,3,0,0,1,0,0,1
42,1,2,0,0,1,0,0,1
140,3,4,0,0,1,0,0,1
222,4,5,0,0,1,0,0,1
208,4,3,0,0,1,0,0,0
208,4,3,0,0,1,0,0,0
240,4,3,0,0,1,0,0,0
204,4,3,0,0,1,0,0,0
240,4,3,0,0,1,0,0,0
240,4,3,0,0,1,0,0,0
266,3,3,0,0,1,0,0,1
94,1,1,0,0,1,0,0,1
273,3,4,0,0,1,0,0,1
273,4,4,0,0,1,0,0,0
110,2,2,0,0,1,0,0,1
145,3,4,0,0,1,0,0,1
211,2,3,0,0,1,0,0,1
215,2,4,0,0,1,0,0,1
117,4,5,0,0,1,0,0,0
